mtprotosender.py:234 #INFO     [2026-02-04 10:57:59,172] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:285 #INFO     [2026-02-04 10:57:59,349] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:65 #INFO     [2026-02-04 10:58:00,628] - root - 0| Client has been connected!
utils.py:65 #INFO     [2026-02-04 10:58:00,632] - root - 0| Redis has been initialized!
utils.py:65 #INFO     [2026-02-04 10:58:00,632] - root - 0| Prepare to load data in redis...
utils.py:65 #INFO     [2026-02-04 10:58:00,633] - root - 0| Loading messages data from small groups...
utils.py:65 #INFO     [2026-02-04 10:58:03,238] - root - 0| Data from small groups has been loaded!
subscription_state.py:110 #INFO     [2026-02-04 10:58:03,240] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-commands'})
utils.py:65 #INFO     [2026-02-04 10:58:03,241] - root - 0| Queue worker has been started!
group_coordinator.py:594 #INFO     [2026-02-04 10:58:03,287] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-02-04 10:58:03,287] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-02-04 10:58:03,288] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-02-04 10:58:05,989] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 121) with member_id aiokafka-0.12.0-315a8ceb-2459-4db9-ab3e-a63540c9cb4e
group_coordinator.py:1519 #INFO     [2026-02-04 10:58:06,114] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 121
group_coordinator.py:506 #INFO     [2026-02-04 10:58:06,115] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-commands', partition=0)} for group demo-group
kafka.py:52 #INFO     [2026-02-04 10:58:06,115] - root - 0| Kafka Consumer has been init
kafka.py:32 #INFO     [2026-02-04 10:58:06,150] - root - 0| Kafka Producer has been init
utils.py:65 #INFO     [2026-02-04 10:58:06,150] - root - 0| Event handlers has been registered!
utils.py:65 #INFO     [2026-02-04 10:58:06,151] - root - 0| Kafka listener has been started!
mtprotosender.py:325 #INFO     [2026-02-04 11:00:30,518] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.171.5:443/TcpFull...
mtprotosender.py:345 #INFO     [2026-02-04 11:00:30,518] - telethon.network.mtprotosender - 0| Disconnection from 149.154.171.5:443/TcpFull complete!
