mtprotosender.py:234 #INFO     [2026-02-10 16:37:27,026] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:285 #INFO     [2026-02-10 16:37:27,211] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:101 #INFO     [2026-02-10 16:37:28,431] - root - 0| Client has been connected!
utils.py:101 #INFO     [2026-02-10 16:37:28,433] - root - 0| Redis has been initialized!
utils.py:101 #INFO     [2026-02-10 16:37:28,433] - root - 0| Prepare to load data in redis...
utils.py:101 #INFO     [2026-02-10 16:37:28,434] - root - 0| Loading messages data from small groups...
utils.py:101 #INFO     [2026-02-10 16:37:28,660] - root - 0| Data from small groups has been loaded!
subscription_state.py:110 #INFO     [2026-02-10 16:37:28,661] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-commands'})
utils.py:101 #INFO     [2026-02-10 16:37:28,662] - root - 0| Queue worker has been started!
group_coordinator.py:594 #INFO     [2026-02-10 16:37:28,726] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-02-10 16:37:28,726] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-02-10 16:37:28,726] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-02-10 16:37:31,593] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 214) with member_id aiokafka-0.12.0-504a968b-30ac-4640-ab89-dc5ad02ac7e0
group_coordinator.py:1368 #INFO     [2026-02-10 16:37:31,594] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1519 #INFO     [2026-02-10 16:37:31,618] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 214
group_coordinator.py:506 #INFO     [2026-02-10 16:37:31,618] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-commands', partition=0)} for group demo-group
kafka.py:53 #INFO     [2026-02-10 16:37:31,619] - root - 0| Kafka Consumer has been init
kafka.py:33 #INFO     [2026-02-10 16:37:31,666] - root - 0| Kafka Producer has been init
utils.py:101 #INFO     [2026-02-10 16:37:31,666] - root - 0| Event handlers has been registered!
utils.py:101 #INFO     [2026-02-10 16:37:31,667] - root - 0| Kafka listener has been started!
events_catcher.py:31 #INFO     [2026-02-10 16:41:19,004] - root - 0| New event: NewMessage
main.py:30 #ERROR    [2026-02-10 16:41:19,005] - root - 0| Queue worker | ex: obj_from_peer
main.py:30 #ERROR    [2026-02-10 16:41:19,005] - root - 0| Queue worker | ex: cannot reuse already awaited coroutine
main.py:30 #ERROR    [2026-02-10 16:41:19,005] - root - 0| Queue worker | ex: cannot reuse already awaited coroutine
mtprotosender.py:325 #INFO     [2026-02-10 16:41:24,375] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.171.5:443/TcpFull...
mtprotosender.py:345 #INFO     [2026-02-10 16:41:24,375] - telethon.network.mtprotosender - 0| Disconnection from 149.154.171.5:443/TcpFull complete!
group_coordinator.py:314 #ERROR    [2026-02-10 16:42:04,393] - aiokafka.consumer.group_coordinator - 0| Error sending LeaveGroupRequest_v1 to node 1 [[Error 7] RequestTimedOutError] -- marking coordinator dead
group_coordinator.py:531 #WARNING  [2026-02-10 16:42:04,393] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:388 #ERROR    [2026-02-10 16:42:04,393] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request failed: [Error 7] RequestTimedOutError
