mtprotosender.py:234 #INFO     [2026-02-10 17:06:03,367] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:285 #INFO     [2026-02-10 17:06:03,594] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:101 #INFO     [2026-02-10 17:06:04,716] - root - 0| Client has been connected!
utils.py:101 #INFO     [2026-02-10 17:06:04,716] - root - 0| Redis has been initialized!
utils.py:101 #INFO     [2026-02-10 17:06:04,716] - root - 0| Prepare to load data in redis...
utils.py:101 #INFO     [2026-02-10 17:06:04,716] - root - 0| Loading messages data from small groups...
utils.py:101 #INFO     [2026-02-10 17:06:04,931] - root - 0| Data from small groups has been loaded!
subscription_state.py:110 #INFO     [2026-02-10 17:06:04,933] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-commands'})
utils.py:101 #INFO     [2026-02-10 17:06:04,934] - root - 0| Queue worker has been started!
group_coordinator.py:594 #INFO     [2026-02-10 17:06:05,005] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-02-10 17:06:05,005] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-02-10 17:06:05,005] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-02-10 17:06:07,895] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 224) with member_id aiokafka-0.12.0-786f00c6-b819-4b3f-8cd1-131d2f5faee7
group_coordinator.py:1368 #INFO     [2026-02-10 17:06:07,895] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1519 #INFO     [2026-02-10 17:06:07,904] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 224
group_coordinator.py:506 #INFO     [2026-02-10 17:06:07,905] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-commands', partition=0)} for group demo-group
kafka.py:53 #INFO     [2026-02-10 17:06:07,905] - root - 0| Kafka Consumer has been init
kafka.py:33 #INFO     [2026-02-10 17:06:07,926] - root - 0| Kafka Producer has been init
utils.py:101 #INFO     [2026-02-10 17:06:07,927] - root - 0| Event handlers has been registered!
utils.py:101 #INFO     [2026-02-10 17:06:07,927] - root - 0| Kafka listener has been started!
events_catcher.py:31 #INFO     [2026-02-10 17:06:10,756] - root - 0| New event: NewMessage
mtprotosender.py:325 #INFO     [2026-02-10 17:06:21,971] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.171.5:443/TcpFull...
mtprotosender.py:345 #INFO     [2026-02-10 17:06:21,972] - telethon.network.mtprotosender - 0| Disconnection from 149.154.171.5:443/TcpFull complete!
