mtprotosender.py:234 #INFO     [2026-02-04 11:14:31,121] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:285 #INFO     [2026-02-04 11:14:31,295] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:65 #INFO     [2026-02-04 11:14:32,423] - root - 0| Client has been connected!
utils.py:65 #INFO     [2026-02-04 11:14:32,424] - root - 0| Redis has been initialized!
utils.py:65 #INFO     [2026-02-04 11:14:32,424] - root - 0| Prepare to load data in redis...
utils.py:65 #INFO     [2026-02-04 11:14:32,424] - root - 0| Loading messages data from small groups...
utils.py:65 #INFO     [2026-02-04 11:14:34,893] - root - 0| Data from small groups has been loaded!
subscription_state.py:110 #INFO     [2026-02-04 11:14:34,900] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-commands'})
utils.py:65 #INFO     [2026-02-04 11:14:34,902] - root - 0| Queue worker has been started!
group_coordinator.py:594 #INFO     [2026-02-04 11:14:34,961] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-02-04 11:14:34,961] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-02-04 11:14:34,961] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-02-04 11:14:36,315] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 133) with member_id aiokafka-0.12.0-5a950bd5-d8c4-4f17-9632-ba253e98899d
group_coordinator.py:1519 #INFO     [2026-02-04 11:14:36,641] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 133
group_coordinator.py:506 #INFO     [2026-02-04 11:14:36,641] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-commands', partition=0)} for group demo-group
kafka.py:53 #INFO     [2026-02-04 11:14:36,641] - root - 0| Kafka Consumer has been init
kafka.py:33 #INFO     [2026-02-04 11:14:36,674] - root - 0| Kafka Producer has been init
utils.py:65 #INFO     [2026-02-04 11:14:36,675] - root - 0| Event handlers has been registered!
utils.py:65 #INFO     [2026-02-04 11:14:36,675] - root - 0| Kafka listener has been started!
mtprotosender.py:325 #INFO     [2026-02-04 11:15:59,993] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.171.5:443/TcpFull...
mtprotosender.py:345 #INFO     [2026-02-04 11:15:59,994] - telethon.network.mtprotosender - 0| Disconnection from 149.154.171.5:443/TcpFull complete!
