mtprotosender.py:234 #INFO     [2026-02-03 17:55:39,283] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:285 #INFO     [2026-02-03 17:55:39,460] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:65 #INFO     [2026-02-03 17:55:40,784] - root - 0| Client has been connected!
utils.py:65 #INFO     [2026-02-03 17:55:40,785] - root - 0| Redis has been initialized!
utils.py:65 #INFO     [2026-02-03 17:55:40,786] - root - 0| Prepare to load data in redis...
utils.py:65 #INFO     [2026-02-03 17:55:40,786] - root - 0| Loading messages data from small groups...
utils.py:65 #INFO     [2026-02-03 17:55:43,341] - root - 0| Data from small groups has been loaded!
subscription_state.py:110 #INFO     [2026-02-03 17:55:43,343] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-commands'})
utils.py:65 #INFO     [2026-02-03 17:55:43,343] - root - 0| Queue worker has been started!
group_coordinator.py:594 #INFO     [2026-02-03 17:55:43,373] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-02-03 17:55:43,373] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-02-03 17:55:43,373] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-02-03 17:55:45,201] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 74) with member_id aiokafka-0.12.0-14b30f51-cac7-4f52-b518-0c2d9a0cec90
group_coordinator.py:1519 #INFO     [2026-02-03 17:55:45,314] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 74
group_coordinator.py:506 #INFO     [2026-02-03 17:55:45,315] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-commands', partition=0)} for group demo-group
kafka.py:52 #INFO     [2026-02-03 17:55:45,315] - root - 0| Kafka Consumer has been init
kafka.py:32 #INFO     [2026-02-03 17:55:45,340] - root - 0| Kafka Producer has been init
utils.py:65 #INFO     [2026-02-03 17:55:45,340] - root - 0| Event handlers has been registered!
utils.py:65 #INFO     [2026-02-03 17:55:45,340] - root - 0| Kafka listener has been started!
group_coordinator.py:842 #WARNING  [2026-02-03 17:55:51,351] - aiokafka.consumer.group_coordinator - 0| Heartbeat failed for group demo-group because it is rebalancing
group_coordinator.py:415 #INFO     [2026-02-03 17:55:51,358] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions frozenset({TopicPartition(topic='tg-commands', partition=0)}) for group demo-group
group_coordinator.py:1281 #INFO     [2026-02-03 17:55:51,358] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-02-03 17:55:51,360] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 75) with member_id aiokafka-0.12.0-14b30f51-cac7-4f52-b518-0c2d9a0cec90
group_coordinator.py:1368 #INFO     [2026-02-03 17:55:51,360] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:70 #INFO     [2026-02-03 17:55:51,506] - aiokafka.consumer.group_coordinator - 0| Metadata for topic has changed from {} to {'tg-commands': 1, 'tg-responses': 1}. 
group_coordinator.py:1519 #INFO     [2026-02-03 17:55:51,516] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 75
group_coordinator.py:506 #INFO     [2026-02-03 17:55:51,517] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-commands', partition=0)} for group demo-group
mtprotosender.py:325 #INFO     [2026-02-03 17:56:05,033] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.171.5:443/TcpFull...
mtprotosender.py:345 #INFO     [2026-02-03 17:56:05,034] - telethon.network.mtprotosender - 0| Disconnection from 149.154.171.5:443/TcpFull complete!
