mtprotosender.py:234 #INFO     [2026-02-09 18:27:59,953] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:285 #INFO     [2026-02-09 18:28:00,125] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:101 #INFO     [2026-02-09 18:28:01,264] - root - 0| Client has been connected!
utils.py:101 #INFO     [2026-02-09 18:28:01,265] - root - 0| Redis has been initialized!
utils.py:101 #INFO     [2026-02-09 18:28:01,266] - root - 0| Prepare to load data in redis...
utils.py:101 #INFO     [2026-02-09 18:28:01,266] - root - 0| Loading messages data from small groups...
utils.py:101 #INFO     [2026-02-09 18:28:03,747] - root - 0| Data from small groups has been loaded!
subscription_state.py:110 #INFO     [2026-02-09 18:28:03,748] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-commands'})
utils.py:101 #INFO     [2026-02-09 18:28:03,749] - root - 0| Queue worker has been started!
group_coordinator.py:594 #INFO     [2026-02-09 18:28:03,794] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-02-09 18:28:03,794] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-02-09 18:28:03,794] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-02-09 18:28:06,572] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 170) with member_id aiokafka-0.12.0-e77bdc59-421e-4ad2-8cb0-e22b884f5b92
group_coordinator.py:1368 #INFO     [2026-02-09 18:28:06,572] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1519 #INFO     [2026-02-09 18:28:06,579] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 170
group_coordinator.py:506 #INFO     [2026-02-09 18:28:06,580] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-commands', partition=0)} for group demo-group
kafka.py:53 #INFO     [2026-02-09 18:28:06,580] - root - 0| Kafka Consumer has been init
kafka.py:33 #INFO     [2026-02-09 18:28:06,601] - root - 0| Kafka Producer has been init
utils.py:101 #INFO     [2026-02-09 18:28:06,601] - root - 0| Event handlers has been registered!
utils.py:101 #INFO     [2026-02-09 18:28:06,601] - root - 0| Kafka listener has been started!
events_catcher.py:32 #INFO     [2026-02-09 18:28:13,257] - root - 0| New event: NewMessage
mtprotosender.py:325 #INFO     [2026-02-09 18:28:23,145] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.171.5:443/TcpFull...
mtprotosender.py:345 #INFO     [2026-02-09 18:28:23,146] - telethon.network.mtprotosender - 0| Disconnection from 149.154.171.5:443/TcpFull complete!
group_coordinator.py:314 #ERROR    [2026-02-09 18:29:03,151] - aiokafka.consumer.group_coordinator - 0| Error sending LeaveGroupRequest_v1 to node 1 [[Error 7] RequestTimedOutError] -- marking coordinator dead
group_coordinator.py:531 #WARNING  [2026-02-09 18:29:03,151] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:388 #ERROR    [2026-02-09 18:29:03,151] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request failed: [Error 7] RequestTimedOutError
