mtprotosender.py:234 #INFO     [2026-02-10 16:42:11,231] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:285 #INFO     [2026-02-10 16:42:11,407] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:101 #INFO     [2026-02-10 16:42:12,642] - root - 0| Client has been connected!
utils.py:101 #INFO     [2026-02-10 16:42:12,646] - root - 0| Redis has been initialized!
utils.py:101 #INFO     [2026-02-10 16:42:12,646] - root - 0| Prepare to load data in redis...
utils.py:101 #INFO     [2026-02-10 16:42:12,647] - root - 0| Loading messages data from small groups...
utils.py:101 #INFO     [2026-02-10 16:42:12,859] - root - 0| Data from small groups has been loaded!
subscription_state.py:110 #INFO     [2026-02-10 16:42:12,861] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-commands'})
utils.py:101 #INFO     [2026-02-10 16:42:12,861] - root - 0| Queue worker has been started!
group_coordinator.py:594 #INFO     [2026-02-10 16:42:13,152] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-02-10 16:42:13,152] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-02-10 16:42:13,152] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-02-10 16:42:16,016] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 216) with member_id aiokafka-0.12.0-7ce7f8ff-af94-45bf-a54a-423b102eaa8b
group_coordinator.py:1368 #INFO     [2026-02-10 16:42:16,016] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1519 #INFO     [2026-02-10 16:42:16,027] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 216
group_coordinator.py:506 #INFO     [2026-02-10 16:42:16,028] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-commands', partition=0)} for group demo-group
kafka.py:53 #INFO     [2026-02-10 16:42:16,029] - root - 0| Kafka Consumer has been init
kafka.py:33 #INFO     [2026-02-10 16:42:16,063] - root - 0| Kafka Producer has been init
utils.py:101 #INFO     [2026-02-10 16:42:16,064] - root - 0| Event handlers has been registered!
utils.py:101 #INFO     [2026-02-10 16:42:16,064] - root - 0| Kafka listener has been started!
events_catcher.py:31 #INFO     [2026-02-10 16:42:32,015] - root - 0| New event: NewMessage
main.py:30 #ERROR    [2026-02-10 16:42:32,022] - root - 0| Queue worker | ex: 1 validation error for ChatInfo
member_count
  Input should be a valid integer [type=int_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.11/v/int_type
main.py:30 #ERROR    [2026-02-10 16:42:32,023] - root - 0| Queue worker | ex: cannot reuse already awaited coroutine
main.py:30 #ERROR    [2026-02-10 16:42:32,024] - root - 0| Queue worker | ex: cannot reuse already awaited coroutine
mtprotosender.py:325 #INFO     [2026-02-10 16:42:37,838] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.171.5:443/TcpFull...
mtprotosender.py:345 #INFO     [2026-02-10 16:42:37,839] - telethon.network.mtprotosender - 0| Disconnection from 149.154.171.5:443/TcpFull complete!
group_coordinator.py:314 #ERROR    [2026-02-10 16:43:17,887] - aiokafka.consumer.group_coordinator - 0| Error sending LeaveGroupRequest_v1 to node 1 [[Error 7] RequestTimedOutError] -- marking coordinator dead
group_coordinator.py:531 #WARNING  [2026-02-10 16:43:17,888] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:388 #ERROR    [2026-02-10 16:43:17,888] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request failed: [Error 7] RequestTimedOutError
