mtprotosender.py:234 #INFO     [2026-02-03 17:10:41,368] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:285 #INFO     [2026-02-03 17:10:41,543] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:65 #INFO     [2026-02-03 17:10:42,678] - root - 0| Client has been connected!
utils.py:65 #INFO     [2026-02-03 17:10:42,678] - root - 0| Redis has been initialized!
utils.py:65 #INFO     [2026-02-03 17:10:42,678] - root - 0| Prepare to load data in redis...
utils.py:65 #INFO     [2026-02-03 17:10:42,678] - root - 0| Loading messages data from small groups...
utils.py:65 #INFO     [2026-02-03 17:10:45,157] - root - 0| Data from small groups has been loaded!
utils.py:65 #INFO     [2026-02-03 17:10:45,160] - root - 0| Event handlers has been registered!
utils.py:65 #INFO     [2026-02-03 17:10:45,160] - root - 0| Queue worker has been started!
utils.py:65 #INFO     [2026-02-03 17:10:45,160] - root - 0| Kafka listener has been started!
subscription_state.py:110 #INFO     [2026-02-03 17:10:45,160] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-commands'})
cluster.py:283 #ERROR    [2026-02-03 17:10:45,187] - aiokafka.cluster - 0| Topic tg-commands not found in cluster metadata
group_coordinator.py:594 #INFO     [2026-02-03 17:10:45,320] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-02-03 17:10:45,320] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-02-03 17:10:45,320] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-02-03 17:10:45,425] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 54) with member_id aiokafka-0.12.0-ecc61c5e-1fdd-4cf8-9ad9-ad41af243b84
group_coordinator.py:1519 #INFO     [2026-02-03 17:10:45,532] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 54
group_coordinator.py:506 #INFO     [2026-02-03 17:10:45,532] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-commands', partition=0)} for group demo-group
mtprotosender.py:325 #INFO     [2026-02-03 17:10:57,635] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.171.5:443/TcpFull...
mtprotosender.py:345 #INFO     [2026-02-03 17:10:57,637] - telethon.network.mtprotosender - 0| Disconnection from 149.154.171.5:443/TcpFull complete!
