mtprotosender.py:234 #INFO     [2026-02-04 11:00:36,194] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:285 #INFO     [2026-02-04 11:00:36,372] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:65 #INFO     [2026-02-04 11:00:37,501] - root - 0| Client has been connected!
utils.py:65 #INFO     [2026-02-04 11:00:37,502] - root - 0| Redis has been initialized!
utils.py:65 #INFO     [2026-02-04 11:00:37,502] - root - 0| Prepare to load data in redis...
utils.py:65 #INFO     [2026-02-04 11:00:37,503] - root - 0| Loading messages data from small groups...
utils.py:65 #INFO     [2026-02-04 11:00:39,981] - root - 0| Data from small groups has been loaded!
subscription_state.py:110 #INFO     [2026-02-04 11:00:40,020] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-commands'})
utils.py:65 #INFO     [2026-02-04 11:00:40,021] - root - 0| Queue worker has been started!
group_coordinator.py:594 #INFO     [2026-02-04 11:00:40,073] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-02-04 11:00:40,073] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-02-04 11:00:40,073] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-02-04 11:00:45,890] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 124) with member_id aiokafka-0.12.0-af13b635-c5cb-429b-bade-3694e7e8f8ae
group_coordinator.py:1368 #INFO     [2026-02-04 11:00:45,890] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:70 #INFO     [2026-02-04 11:00:45,895] - aiokafka.consumer.group_coordinator - 0| Metadata for topic has changed from {} to {'tg-commands': 1, 'tg-responses': 1}. 
group_coordinator.py:1519 #INFO     [2026-02-04 11:00:45,906] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 124
group_coordinator.py:506 #INFO     [2026-02-04 11:00:45,907] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-commands', partition=0)} for group demo-group
kafka.py:53 #INFO     [2026-02-04 11:00:45,907] - root - 0| Kafka Consumer has been init
kafka.py:33 #INFO     [2026-02-04 11:00:45,943] - root - 0| Kafka Producer has been init
utils.py:65 #INFO     [2026-02-04 11:00:45,944] - root - 0| Event handlers has been registered!
utils.py:65 #INFO     [2026-02-04 11:00:45,944] - root - 0| Kafka listener has been started!
mtprotosender.py:325 #INFO     [2026-02-04 11:01:42,927] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.171.5:443/TcpFull...
mtprotosender.py:345 #INFO     [2026-02-04 11:01:42,928] - telethon.network.mtprotosender - 0| Disconnection from 149.154.171.5:443/TcpFull complete!
group_coordinator.py:314 #ERROR    [2026-02-04 11:02:22,944] - aiokafka.consumer.group_coordinator - 0| Error sending LeaveGroupRequest_v1 to node 1 [[Error 7] RequestTimedOutError] -- marking coordinator dead
group_coordinator.py:531 #WARNING  [2026-02-04 11:02:22,944] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:388 #ERROR    [2026-02-04 11:02:22,944] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request failed: [Error 7] RequestTimedOutError
