mtprotosender.py:234 #INFO     [2026-02-04 10:33:57,246] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:285 #INFO     [2026-02-04 10:33:57,421] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:65 #INFO     [2026-02-04 10:33:58,622] - root - 0| Client has been connected!
utils.py:65 #INFO     [2026-02-04 10:33:58,623] - root - 0| Redis has been initialized!
utils.py:65 #INFO     [2026-02-04 10:33:58,624] - root - 0| Prepare to load data in redis...
utils.py:65 #INFO     [2026-02-04 10:33:58,624] - root - 0| Loading messages data from small groups...
utils.py:65 #INFO     [2026-02-04 10:34:01,087] - root - 0| Data from small groups has been loaded!
subscription_state.py:110 #INFO     [2026-02-04 10:34:01,089] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-commands'})
utils.py:65 #INFO     [2026-02-04 10:34:01,090] - root - 0| Queue worker has been started!
group_coordinator.py:594 #INFO     [2026-02-04 10:34:01,133] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-02-04 10:34:01,133] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-02-04 10:34:01,133] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-02-04 10:34:06,225] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 97) with member_id aiokafka-0.12.0-7b0425c7-61e5-4df4-ab5a-aed92e6dcc60
group_coordinator.py:1519 #INFO     [2026-02-04 10:34:06,246] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 97
group_coordinator.py:506 #INFO     [2026-02-04 10:34:06,246] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-commands', partition=0)} for group demo-group
kafka.py:52 #INFO     [2026-02-04 10:34:06,247] - root - 0| Kafka Consumer has been init
kafka.py:32 #INFO     [2026-02-04 10:34:06,282] - root - 0| Kafka Producer has been init
utils.py:65 #INFO     [2026-02-04 10:34:06,282] - root - 0| Event handlers has been registered!
