mtprotosender.py:234 #INFO     [2026-02-04 10:54:46,732] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:285 #INFO     [2026-02-04 10:54:46,908] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:65 #INFO     [2026-02-04 10:54:48,101] - root - 0| Client has been connected!
utils.py:65 #INFO     [2026-02-04 10:54:48,103] - root - 0| Redis has been initialized!
utils.py:65 #INFO     [2026-02-04 10:54:48,103] - root - 0| Prepare to load data in redis...
utils.py:65 #INFO     [2026-02-04 10:54:48,103] - root - 0| Loading messages data from small groups...
utils.py:65 #INFO     [2026-02-04 10:54:50,594] - root - 0| Data from small groups has been loaded!
subscription_state.py:110 #INFO     [2026-02-04 10:54:50,632] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-commands'})
utils.py:65 #INFO     [2026-02-04 10:54:50,633] - root - 0| Queue worker has been started!
group_coordinator.py:594 #INFO     [2026-02-04 10:54:50,673] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-02-04 10:54:50,674] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-02-04 10:54:50,674] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-02-04 10:54:56,464] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 119) with member_id aiokafka-0.12.0-4486e38a-4aee-4bc4-9427-e1e7ad2ce526
group_coordinator.py:1368 #INFO     [2026-02-04 10:54:56,464] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:70 #INFO     [2026-02-04 10:54:56,468] - aiokafka.consumer.group_coordinator - 0| Metadata for topic has changed from {} to {'tg-commands': 1, 'tg-responses': 1}. 
group_coordinator.py:1519 #INFO     [2026-02-04 10:54:56,478] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 119
group_coordinator.py:506 #INFO     [2026-02-04 10:54:56,479] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-commands', partition=0)} for group demo-group
kafka.py:52 #INFO     [2026-02-04 10:54:56,479] - root - 0| Kafka Consumer has been init
kafka.py:32 #INFO     [2026-02-04 10:54:56,537] - root - 0| Kafka Producer has been init
utils.py:65 #INFO     [2026-02-04 10:54:56,537] - root - 0| Event handlers has been registered!
utils.py:65 #INFO     [2026-02-04 10:54:56,537] - root - 0| Kafka listener has been started!
mtprotosender.py:325 #INFO     [2026-02-04 10:56:55,727] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.171.5:443/TcpFull...
mtprotosender.py:345 #INFO     [2026-02-04 10:56:55,728] - telethon.network.mtprotosender - 0| Disconnection from 149.154.171.5:443/TcpFull complete!
