mtprotosender.py:234 #INFO     [2026-02-04 10:29:00,144] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:285 #INFO     [2026-02-04 10:29:00,320] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:65 #INFO     [2026-02-04 10:29:01,508] - root - 0| Client has been connected!
utils.py:65 #INFO     [2026-02-04 10:29:01,509] - root - 0| Redis has been initialized!
utils.py:65 #INFO     [2026-02-04 10:29:01,509] - root - 0| Prepare to load data in redis...
utils.py:65 #INFO     [2026-02-04 10:29:01,509] - root - 0| Loading messages data from small groups...
utils.py:65 #INFO     [2026-02-04 10:29:04,002] - root - 0| Data from small groups has been loaded!
subscription_state.py:110 #INFO     [2026-02-04 10:29:04,004] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-commands'})
utils.py:65 #INFO     [2026-02-04 10:29:04,005] - root - 0| Queue worker has been started!
group_coordinator.py:594 #INFO     [2026-02-04 10:29:04,054] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-02-04 10:29:04,054] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-02-04 10:29:04,055] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-02-04 10:29:09,877] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 94) with member_id aiokafka-0.12.0-47127cbe-faf4-4826-893a-96f8a1549521
group_coordinator.py:1368 #INFO     [2026-02-04 10:29:09,877] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:70 #INFO     [2026-02-04 10:29:09,883] - aiokafka.consumer.group_coordinator - 0| Metadata for topic has changed from {} to {'tg-responses': 1, 'tg-commands': 1}. 
group_coordinator.py:1519 #INFO     [2026-02-04 10:29:09,893] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 94
group_coordinator.py:506 #INFO     [2026-02-04 10:29:09,894] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-commands', partition=0)} for group demo-group
kafka.py:52 #INFO     [2026-02-04 10:29:09,895] - root - 0| Kafka Consumer has been init
kafka.py:32 #INFO     [2026-02-04 10:29:09,944] - root - 0| Kafka Producer has been init
utils.py:65 #INFO     [2026-02-04 10:29:09,945] - root - 0| Event handlers has been registered!
utils.py:65 #INFO     [2026-02-04 10:29:09,946] - root - 0| Kafka listener has been started!
group_coordinator.py:842 #WARNING  [2026-02-04 10:31:55,249] - aiokafka.consumer.group_coordinator - 0| Heartbeat failed for group demo-group because it is rebalancing
group_coordinator.py:415 #INFO     [2026-02-04 10:31:55,258] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions frozenset({TopicPartition(topic='tg-commands', partition=0)}) for group demo-group
group_coordinator.py:1281 #INFO     [2026-02-04 10:31:55,259] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-02-04 10:31:55,262] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 95) with member_id aiokafka-0.12.0-47127cbe-faf4-4826-893a-96f8a1549521
group_coordinator.py:1368 #INFO     [2026-02-04 10:31:55,262] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1519 #INFO     [2026-02-04 10:31:55,272] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 95
group_coordinator.py:506 #INFO     [2026-02-04 10:31:55,273] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-commands', partition=0)} for group demo-group
mtprotosender.py:325 #INFO     [2026-02-04 10:32:24,748] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.171.5:443/TcpFull...
mtprotosender.py:345 #INFO     [2026-02-04 10:32:24,749] - telethon.network.mtprotosender - 0| Disconnection from 149.154.171.5:443/TcpFull complete!
